,EC,Superpathway
414,ec:1.3.8.9,Lipid metabolism
415,ec:2.3.1.16,Lipid metabolism
416,ec:2.3.1.21,Lipid metabolism
417,ec:2.3.1.9,Lipid metabolism
418,ec:4.2.1.17,Lipid metabolism
419,ec:4.2.1.74,Lipid metabolism
420,ec:5.1.2.3,Lipid metabolism
421,ec:5.3.3.8,Lipid metabolism
422,ec:6.2.1.20,Lipid metabolism
423,ec:6.2.1.3,Lipid metabolism
424,ec:6.2.1.6,Lipid metabolism
425,ec:1.1.1.30,Lipid metabolism
426,ec:2.3.1.9,Lipid metabolism
427,ec:2.3.3.10,Lipid metabolism
428,ec:2.8.3.5,Lipid metabolism
429,ec:4.1.1.4,Lipid metabolism
430,ec:4.1.3.4,Lipid metabolism
431,ec:1.11.2.3,Lipid metabolism
432,ec:1.14.14.80,Lipid metabolism
433,ec:1.2.1.50,Lipid metabolism
434,ec:1.2.1.84,Lipid metabolism
435,ec:2.3.1.188,Lipid metabolism
436,ec:2.3.1.20,Lipid metabolism
437,ec:2.3.1.75,Lipid metabolism
438,ec:3.1.1.50,Lipid metabolism
439,ec:4.1.99.5,Lipid metabolism
440,ec:1.1.1.170,Lipid metabolism
441,ec:1.1.1.270,Lipid metabolism
442,ec:1.14.14.154,Lipid metabolism
443,ec:1.14.14.17,Lipid metabolism
444,ec:1.14.14.24,Lipid metabolism
445,ec:1.14.15.16,Lipid metabolism
446,ec:1.14.15.18,Lipid metabolism
447,ec:1.14.15.22,Lipid metabolism
448,ec:1.14.18.9,Lipid metabolism
449,ec:1.14.19.20,Lipid metabolism
450,ec:1.14.19.41,Lipid metabolism
451,ec:1.3.1.21,Lipid metabolism
452,ec:1.3.1.70,Lipid metabolism
453,ec:1.3.1.71,Lipid metabolism
454,ec:1.3.1.72,Lipid metabolism
455,ec:2.1.1.143,Lipid metabolism
456,ec:2.1.1.41,Lipid metabolism
457,ec:2.3.1.26,Lipid metabolism
458,ec:2.3.1.73,Lipid metabolism
459,ec:2.5.1.21,Lipid metabolism
460,ec:3.1.1.13,Lipid metabolism
461,ec:5.3.3.5,Lipid metabolism
462,ec:5.4.99.7,Lipid metabolism
463,ec:5.4.99.8,Lipid metabolism
464,ec:5.5.1.9,Lipid metabolism
465,ec:1.1.1.181,Lipid metabolism
466,ec:1.1.1.35,Lipid metabolism
467,ec:1.1.1.50,Lipid metabolism
468,ec:1.14.14.139,Lipid metabolism
469,ec:1.14.14.23,Lipid metabolism
470,ec:1.14.14.25,Lipid metabolism
471,ec:1.14.14.26,Lipid metabolism
472,ec:1.14.14.29,Lipid metabolism
473,ec:1.14.15.15,Lipid metabolism
474,ec:1.14.18.8,Lipid metabolism
475,ec:1.14.99.38,Lipid metabolism
476,ec:1.17.99.3,Lipid metabolism
477,ec:1.3.1.3,Lipid metabolism
478,ec:2.3.1.176,Lipid metabolism
479,ec:2.3.1.65,Lipid metabolism
480,ec:3.1.2.27,Lipid metabolism
481,ec:3.5.1.24,Lipid metabolism
482,ec:4.2.1.107,Lipid metabolism
483,ec:5.1.99.4,Lipid metabolism
484,ec:6.2.1.7,Lipid metabolism
485,ec:1.1.1.159,Lipid metabolism
486,ec:1.1.1.176,Lipid metabolism
487,ec:1.1.1.201,Lipid metabolism
488,ec:1.1.1.238,Lipid metabolism
489,ec:1.1.1.391,Lipid metabolism
490,ec:1.1.1.392,Lipid metabolism
491,ec:1.1.1.393,Lipid metabolism
492,ec:1.1.1.395,Lipid metabolism
493,ec:1.1.1.52,Lipid metabolism
494,ec:1.3.1.114,Lipid metabolism
495,ec:1.3.1.115,Lipid metabolism
496,ec:1.3.1.116,Lipid metabolism
497,ec:2.8.3.25,Lipid metabolism
498,ec:3.5.1.24,Lipid metabolism
499,ec:3.5.1.74,Lipid metabolism
500,ec:4.2.1.106,Lipid metabolism
501,ec:6.2.1.7,Lipid metabolism
